Varies per block?       ,1,Unit,$,2,1,2024
Varies per sequence?    ,1
# of agents             ,21
Stag,Seq.,Blck,Land,Sugarcane,Straw,Sugar,Molasses,Filter Cake,Bagasse,Ethanol 1G,Ethanol 2G,Vinasse,Electricity,Biomethane,Hydrogen,Bio oil,SAF,Green diesel,Bio Gasoline,Methanol,Biochar,CO2,Carbon credit
1,1,1,0.0,0.0,0.0,4.554017664e7,0.0,0.0,0.0,1.3247859239999999e8,0.0,0.0,1.7563636364e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,0.0,0.0,0.0,5.27395428e7,0.0,0.0,0.0,1.3006989072e8,0.0,0.0,1.7563636364e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1,0.0,0.0,0.0,4.319619696e7,0.0,0.0,0.0,1.4167545336e8,0.0,0.0,1.7563636364e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,1,0.0,0.0,0.0,3.9345373199999996e7,0.0,0.0,0.0,1.4758772112e8,0.0,0.0,1.7563636364e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,1,0.0,0.0,0.0,3.7001393519999996e7,0.0,0.0,0.0,1.4517901944e8,0.0,0.0,1.7563636364e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,1,0.0,0.0,0.0,4.43681868e7,0.0,0.0,0.0,1.5612766344e8,0.0,0.0,1.7563636364e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,1,0.0,0.0,0.0,5.1400125839999996e7,0.0,0.0,0.0,1.4977744992000002e8,0.0,0.0,1.7563636364e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,1,0.0,0.0,0.0,4.704702072e7,0.0,0.0,0.0,1.3006989072e8,0.0,0.0,1.7563636364e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,1,0.0,0.0,0.0,4.554017664e7,0.0,0.0,0.0,1.2722324327999999e8,0.0,0.0,1.7563636364e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10,1,0.0,0.0,0.0,4.43681868e7,0.0,0.0,0.0,1.029172536e8,0.0,0.0,1.7563636364e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11,1,0.0,0.0,0.0,4.386590544e7,0.0,0.0,0.0,9.831882312e7,0.0,0.0,1.7563636364e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
