Varies per block?       ,1,Unit,MWh,2,1,2024
Varies per sequence?    ,1
# of agents             ,1
Stag,Seq.,Blck,Electricity
1,1,1,439090.9091
1,2,1,439090.9091
1,3,1,439090.9091
1,4,1,439090.9091
1,5,1,439090.9091
1,6,1,439090.9091
1,7,1,439090.9091
1,8,1,439090.9091
1,9,1,439090.9091
1,10,1,439090.9091
1,11,1,439090.9091
1,12,1,218570.0306
1,13,1,439090.9091
1,14,1,439090.9091
1,15,1,439090.9091
1,16,1,439090.9091
1,17,1,439090.9091
1,18,1,439090.9091
1,19,1,439090.9091
1,20,1,439090.9091
1,21,1,439090.9091
1,22,1,439090.9091
1,23,1,439090.9091
1,24,1,439090.9091
1,25,1,439090.9091
1,26,1,439090.9091
1,27,1,439090.9091
1,28,1,439090.9091
1,29,1,439090.9091
1,30,1,439090.9091
1,31,1,439090.9091
1,32,1,439090.9091
1,33,1,439090.9091
1,34,1,439090.9091
1,35,1,439090.9091
1,36,1,439090.9091
1,37,1,439090.9091
1,38,1,439090.9091
1,39,1,439090.9091
1,40,1,439090.9091
1,41,1,439090.9091
1,42,1,439090.9091
1,43,1,439090.9091
1,44,1,439090.9091
1,45,1,439090.9091
1,46,1,439090.9091
1,47,1,439090.9091
1,48,1,439090.9091
1,49,1,439090.9091
1,50,1,439090.9091
1,51,1,439090.9091
1,52,1,439090.9091
1,53,1,439090.9091
1,54,1,439090.9091
1,55,1,439090.9091
1,56,1,439090.9091
1,57,1,439090.9091
1,58,1,439090.9091
1,59,1,439090.9091
1,60,1,439090.9091
1,61,1,439090.9091
1,62,1,439090.9091
1,63,1,439090.9091
1,64,1,439090.9091
1,65,1,439090.9091
1,66,1,439090.9091
1,67,1,439090.9091
1,68,1,439090.9091
1,69,1,439090.9091
1,70,1,439090.9091
1,71,1,439090.9091
1,72,1,439090.9091
1,73,1,439090.9091
1,74,1,439090.9091
1,75,1,439090.9091
1,76,1,439090.9091
1,77,1,439090.9091
1,78,1,439090.9091
1,79,1,439090.9091
1,80,1,439090.9091
1,81,1,439090.9091
1,82,1,439090.9091
1,83,1,439090.9091
1,84,1,439090.9091
1,85,1,439090.9091
1,86,1,439090.9091
1,87,1,218570.0306
1,88,1,439090.9091
1,89,1,439090.9091
1,90,1,439090.9091
1,91,1,218570.0306
1,92,1,218570.0306
1,93,1,439090.9091
1,94,1,439090.9091
1,95,1,439090.9091
1,96,1,439090.9091
1,97,1,439090.9091
1,98,1,439090.9091
1,99,1,439090.9091
1,100,1,439090.9091
1,101,1,439090.9091
1,102,1,439090.9091
1,103,1,439090.9091
1,104,1,439090.9091
1,105,1,439090.9091
1,106,1,439090.9091
1,107,1,439090.9091
1,108,1,439090.9091
1,109,1,439090.9091
1,110,1,439090.9091
1,111,1,439090.9091
1,112,1,439090.9091
1,113,1,439090.9091
1,114,1,439090.9091
1,115,1,439090.9091
1,116,1,439090.9091
1,117,1,439090.9091
1,118,1,439090.9091
1,119,1,439090.9091
1,120,1,439090.9091
1,121,1,439090.9091
1,122,1,439090.9091
1,123,1,439090.9091
1,124,1,218570.0306
1,125,1,439090.9091
1,126,1,218570.0306
1,127,1,218570.0306
1,128,1,218570.0306
1,129,1,218570.0306
1,130,1,439090.9091
1,131,1,437170.9186
1,132,1,437170.9186
1,133,1,437170.9186
1,134,1,437170.9186
1,135,1,437170.9186
1,136,1,218570.0306
1,137,1,437170.9186
1,138,1,439090.9091
1,139,1,439090.9091
1,140,1,218570.0306
1,141,1,218570.0306
1,142,1,439090.9091
1,143,1,439090.9091
1,144,1,439090.9091
1,145,1,439090.9091
1,146,1,439090.9091
1,147,1,218570.0306
1,148,1,218570.0306
1,149,1,218570.0306
1,150,1,218570.0306
1,151,1,439090.9091
1,152,1,437170.9186
1,153,1,439090.9091
1,154,1,439090.9091
1,155,1,439090.9091
1,156,1,439090.9091
1,157,1,439090.9091
1,158,1,439090.9091
1,159,1,439090.9091
1,160,1,439090.9091
1,161,1,439090.9091
1,162,1,439090.9091
1,163,1,439090.9091
1,164,1,439090.9091
1,165,1,439090.9091
1,166,1,439090.9091
1,167,1,439090.9091
1,168,1,439090.9091
1,169,1,439090.9091
1,170,1,439090.9091
1,171,1,439090.9091
1,172,1,439090.9091
1,173,1,439090.9091
1,174,1,439090.9091
1,175,1,439090.9091
1,176,1,439090.9091
1,177,1,439090.9091
1,178,1,439090.9091
1,179,1,439090.9091
1,180,1,439090.9091
1,181,1,439090.9091
1,182,1,439090.9091
1,183,1,439090.9091
1,184,1,439090.9091
1,185,1,439090.9091
1,186,1,439090.9091
1,187,1,439090.9091
1,188,1,439090.9091
1,189,1,439090.9091
1,190,1,439090.9091
1,191,1,439090.9091
1,192,1,439090.9091
1,193,1,439090.9091
1,194,1,439090.9091
1,195,1,439090.9091
1,196,1,439090.9091
1,197,1,439090.9091
1,198,1,439090.9091
1,199,1,439090.9091
1,200,1,439090.9091
